,0
Home_PASS,517
Away_PASS,399
Home_RECOVERY_INTERCEPTION,74
Away_RECOVERY_INTERCEPTION,71
Home_BALL LOST_INTERCEPTION,58
Away_BALL LOST_INTERCEPTION,56
Home_RECOVERY,36
Away_CHALLENGE_TACKLE-LOST,33
Home_CHALLENGE_GROUND-WON,32
Away_RECOVERY,27
Home_CHALLENGE_GROUND-LOST,24
Away_CHALLENGE_GROUND-LOST,24
Away_BALL LOST_THEFT,23
Home_RECOVERY_THEFT,21
Away_BALL OUT,20
Away_SET PIECE_THROW IN,20
Home_CHALLENGE_AERIAL-WON,19
Home_CHALLENGE_TACKLE-WON,19
Away_CHALLENGE_TACKLE-WON,18
Home_BALL OUT,18
Home_CHALLENGE_TACKLE-LOST,18
Away_CHALLENGE_AERIAL-LOST,17
Away_SET PIECE_FREE KICK,17
Away_BALL LOST,16
Away_CHALLENGE_AERIAL-WON,16
Away_PASS_HEAD,15
Home_BALL LOST_THEFT,15
Home_BALL LOST,14
Home_CHALLENGE_AERIAL-LOST,13
Home_CHALLENGE_GROUND-FAULT-LOST,13
Home_SET PIECE_FREE KICK,13
Home_SET PIECE_THROW IN,12
Home_PASS_HEAD,12
Away_CHALLENGE_GROUND-WON,11
Away_FAULT RECEIVED,11
Away_RECOVERY_THEFT,10
Home_BALL LOST_HEAD-INTERCEPTION,9
Home_FAULT RECEIVED,9
Away_CHALLENGE_TACKLE-FAULT-WON,8
Home_PASS_GOAL KICK,8
Home_CHALLENGE_GROUND-FAULT-WON,7
Home_BALL LOST_CROSS-INTERCEPTION,7
Home_BALL LOST_HEAD,6
Away_BALL LOST_HEAD-INTERCEPTION,6
Home_PASS_CROSS,5
Home_BALL LOST_FORCED,5
Home_BALL OUT_CLEARANCE,5
Away_CHALLENGE_TACKLE-FAULT-LOST,5
Away_BALL LOST_HEAD,4
Away_PASS_GOAL KICK,4
Home_CHALLENGE_GROUND-ADVANTAGE-LOST,4
Away_CHALLENGE_GROUND-FAULT-LOST,4
Away_SET PIECE_KICK OFF,4
Home_SHOT_HEAD-OFF TARGET-OUT,4
Away_CHALLENGE_GROUND-FAULT-WON,4
Home_SET PIECE_CORNER KICK,4
Home_SHOT_ON TARGET-SAVED,4
Away_RECOVERY_SAVED,4
Away_CARD_YELLOW,3
Home_CHALLENGE_GROUND,3
Home_BALL OUT_HEAD,3
Away_SHOT_OFF TARGET-OUT,3
Away_CHALLENGE_GROUND-ADVANTAGE-WON,3
Home_CARD_YELLOW,3
Away_SET PIECE_CORNER KICK,3
Home_SET PIECE_KICK OFF,3
Away_SHOT_ON TARGET-GOAL,2
Away_SHOT_ON TARGET-SAVED,2
Home_CHALLENGE_AERIAL-FAULT-LOST,2
Home_CHALLENGE_AERIAL-FAULT-WON,2
Home_SHOT_OFF TARGET-OUT,2
Away_PASS_CROSS,2
Away_CHALLENGE_AERIAL-FAULT-LOST,2
Away_BALL LOST_HAND BALL,2
Home_RECOVERY_SAVED,2
Home_RECOVERY_BLOCKED,2
Home_BALL LOST_GOAL KICK-INTERCEPTION,2
Home_SHOT_ON TARGET-GOAL,2
Away_CHALLENGE_TACKLE-ADVANTAGE-WON,2
Away_SHOT_BLOCKED,2
Away_BALL LOST_GOAL KICK-INTERCEPTION,2
Home_BALL LOST_HAND BALL,1
Away_SET PIECE_FREE KICK-RETAKEN,1
Away_BALL LOST_FORCED,1
Away_BALL OUT_CROSS,1
Away_CHALLENGE_GROUND,1
Home_PASS_DEEP BALL,1
Away_BALL OUT_HEAD,1
Away_SET PIECE_PENALTY,1
Away_RECOVERY_BLOCKED,1
Away_CHALLENGE_DRIBBLE-WON,1
Home_BALL LOST_CLEARANCE,1
Home_BALL LOST_CLEARANCE-INTERCEPTION,1
Home_SET PIECE_FREE KICK-RETAKEN,1
Home_CHALLENGE_TACKLE-ADVANTAGE-LOST,1
Home_BALL OUT_HEAD-CLEARANCE,1
Home_CHALLENGE_TACKLE-FAULT-LOST,1
Away_CHALLENGE_FAULT-WON,1
Home_BALL LOST_OFFSIDE,1
Away_PASS_HEAD-INTERCEPTION-CLEARANCE,1
Home_CHALLENGE_TACKLE-ADVANTAGE-WON,1
Home_SHOT_HEAD-ON TARGET-GOAL,1
Home_CHALLENGE_TACKLE-FAULT-WON,1
Away_CHALLENGE_AERIAL-FAULT-WON,1
Away_BALL LOST_CLEARANCE,1
Home_SET PIECE_KICK OFF-RETAKEN,1
Away_BALL LOST_FORCED-END HALF,1
Away_SHOT_OFF TARGET-HEAD-OUT,1
Away_BALL LOST_CROSS-INTERCEPTION,1
Away_SHOT_HEAD-OFF TARGET-OUT,1
