,0
Home_PASS,414
Away_PASS,343
Away_RECOVERY_INTERCEPTION,90
Home_RECOVERY_INTERCEPTION,72
Home_BALL LOST_INTERCEPTION,66
Away_BALL LOST_INTERCEPTION,62
Home_RECOVERY,48
Away_RECOVERY,36
Away_BALL OUT,26
Away_BALL LOST,26
Home_BALL LOST,25
Home_CHALLENGE_TACKLE-WON,21
Home_SET PIECE_FREE KICK,20
Away_CHALLENGE_TACKLE-LOST,17
Away_CHALLENGE_TACKLE-WON,16
Home_SET PIECE_THROW IN,15
Home_CHALLENGE_GROUND-WON,15
Home_FAULT RECEIVED,15
Away_CHALLENGE_AERIAL-WON,14
Home_CHALLENGE_AERIAL-WON,13
Home_BALL OUT,13
Away_SET PIECE_THROW IN,13
Home_RECOVERY_THEFT,12
Away_SET PIECE_FREE KICK,12
Away_CHALLENGE_AERIAL-LOST,12
Home_CHALLENGE_GROUND-LOST,12
Home_CHALLENGE_TACKLE-LOST,12
Away_RECOVERY_THEFT,11
Away_CHALLENGE_GROUND-WON,11
Away_BALL LOST_THEFT,11
Home_PASS_HEAD,11
Away_CHALLENGE_TACKLE-FAULT-LOST,11
Home_CHALLENGE_AERIAL-LOST,10
Home_BALL LOST_THEFT,10
Away_CHALLENGE_GROUND-LOST,9
Home_CHALLENGE_TACKLE-FAULT-WON,9
Away_PASS_HEAD,9
Away_BALL LOST_CROSS-INTERCEPTION,8
Away_PASS_GOAL KICK,8
Home_SET PIECE_CORNER KICK,8
Away_BALL LOST_HEAD,7
Home_BALL LOST_HEAD,7
Away_FAULT RECEIVED,7
Away_CHALLENGE_TACKLE-FAULT-WON,7
Home_CHALLENGE_GROUND-FAULT-WON,7
Home_SHOT_OFF TARGET-OUT,6
Away_CHALLENGE_GROUND-FAULT-LOST,6
Home_CHALLENGE_TACKLE-FAULT-LOST,6
Home_BALL LOST_CROSS-INTERCEPTION,6
Home_PASS_GOAL KICK,5
Away_SET PIECE_KICK OFF,4
Home_BALL LOST_GOAL KICK-INTERCEPTION,4
Away_RECOVERY_SAVED,4
Away_SHOT_ON TARGET-SAVED,3
Away_BALL LOST_HEAD-INTERCEPTION,3
Away_BALL LOST_CLEARANCE,3
Home_PASS_CROSS,3
Away_CHALLENGE_GROUND,3
Home_CHALLENGE_GROUND,3
Away_SHOT_OFF TARGET-OUT,3
Away_CHALLENGE_GROUND-FAULT-WON,3
Home_BALL LOST_CLEARANCE,3
Home_RECOVERY_SAVED,3
Away_SET PIECE_CORNER KICK,3
Away_BALL OUT_CLEARANCE,3
Away_BALL OUT_HEAD,3
Away_CARD_YELLOW,2
Home_CHALLENGE_AERIAL-FAULT-LOST,2
Away_BALL LOST_GOAL KICK,2
Home_PASS_HEAD-CLEARANCE,2
Away_CHALLENGE_AERIAL-FAULT-WON,2
Home_BALL LOST_FORCED,2
Away_CHALLENGE_AERIAL-FAULT-LOST,2
Home_CHALLENGE_AERIAL-FAULT-WON,2
Away_RECOVERY_BLOCKED,2
Home_SHOT_ON TARGET-GOAL,2
Home_SHOT_HEAD-ON TARGET-SAVED,2
Home_CARD_YELLOW,2
Home_BALL LOST_HEAD-INTERCEPTION,2
Home_SHOT_ON TARGET-SAVED,2
Home_CHALLENGE_GROUND-FAULT-LOST,2
Home_SHOT_HEAD-OFF TARGET-OUT,2
Home_SET PIECE_KICK OFF,2
Away_BALL LOST_WOODWORK,1
Home_BALL LOST_GOAL KICK,1
Home_BALL LOST_DEEP BALL,1
Away_PASS_CLEARANCE,1
Home_SHOT_OFF TARGET,1
Away_BALL LOST_HEAD-CLEARANCE,1
Home_BALL OUT_WOODWORK-GOAL,1
Home_SHOT_HEAD-WOODWORK-OUT,1
Away_CHALLENGE_TACKLE-ADVANTAGE-WON,1
Home_CHALLENGE_TACKLE-ADVANTAGE-LOST,1
Home_BALL LOST_REFEREE HIT,1
Home_SHOT_BLOCKED,1
Home_BALL LOST_END HALF,1
Away_BALL OUT_CROSS,1
Away_BALL LOST_HEAD-FORCED,1
Away_PASS_DEEP BALL,1
Home_CHALLENGE_DRIBBLE-WON,1
Away_BALL LOST_GOAL KICK-INTERCEPTION,1
Home_BALL OUT_CLEARANCE,1
Away_BALL LOST_OFFSIDE,1
Home_PASS_DEEP BALL,1
Away_BALL LOST_FORCED,1
Home_SHOT_HEAD-ON TARGET-GOAL,1
Home_PASS_THROUGH BALL-DEEP BALL,1
Home_BALL OUT_HEAD-CLEARANCE,1
Away_CHALLENGE_TACKLE-ADVANTAGE-LOST,1
Home_CHALLENGE_TACKLE-ADVANTAGE-WON,1
Home_BALL OUT_CROSS,1
Home_CHALLENGE_GROUND-ADVANTAGE-LOST,1
Home_BALL OUT_GOAL KICK,1
